codigo,descripcion,campo
A00,Colera
A000,Colera debido a vibrio cholerae o1,biotipo cholerae
A001,Colera debido a vibrio cholerae o1,biotipo el tor
A009,Colera no especificado
A01,Fiebres tifoidea y paratifoide
A010,Fiebre tifoidea
A011,Fiebre paratifoidea a
A012,Fiebre paratifoidea b
A013,Fiebre paratifoidea c
A014,Fiebre paratifoidea no especificada
A02,Otras infecciones debidas a Salmonella
A020,Enteritis debida a salmonella
A021,Septicemia debida a salmonella
A022,Infecciones localizadas debida a salmonella
A028,Otras infecciones especificadas como debidas a salmonella
A029,Infeccion debida a salmonella no especificada
A03,Shigelosis
A030,Shigelosis debida a shigella dysenteriae
A031,Shigelosis debida a shigella flexneri
A032,Shigelosis debida a shigella boydii
A033,Shigelosis debida a shigella sonnei
A038,Otras shigelosis
A039,Shigelosis de tipo no especificado
A04,Otras infecciones intestinales bacterianas
A040,Infeccion debida a escherichia coli enteropatogena
A041,Infeccion debida a escherichia coli enterotoxigena
A042,Infeccion debida a escherichia coli enteroinvasiva
A043,Infeccion debida a escherichia coli enterohemorragica
A044,Otras infecciones intestinales debidas a escherichia coli
A045,Enteritis debida a campylobacter
A046,Enteritis debida a yersinia enterocolitica
A047,Enterocolitis debida a clostridium difficile
A048,Otras infecciones intestinales bacterianas especificadas
A049,Infeccion intestinal bacteriana, no especificada
A05,Otras intoxicaciones alimentarias bacterias
A050,Intoxicacion alimentaria estafilococica
A051,Botulismo
A052,Intoxicacion alimentaria debida a clostridium perfringens [clostridium welchii]
A053,Intoxicacion alimentaria debida a vibrio parahaemolyticus
A054,Intoxicacion alimentaria debida a bacillus cereus
A058,Otras intoxicaciones alimentarias debidas a bacterias especificadas
A059,Intoxicacion alimentaria bacteriana, no especificada
A06,Amebiasis
A060,Disenteria amebiana aguda
A061,Amebiasis intestinal cronica
A062,Colitis amebiana no disenterica
A063,Ameboma intestinal
A064,Absceso amebiano del higado
A065, Absceso amebiano del pulmon (j99.8) a
A066, Absceso amebiano del cerebro (g07) a
A067,Amebiasis cutanea
A068,Infeccion amebiana de otras localizaciones
A069,Amebiasis, no especificada
A07,Otras enfermedades intestinales debidas a protozoarios
A070,Balantidiasis
A071,Giardiasis [lambliasis]
A072,Criptosporidiosis
A073,Isosporiasis
A078,Otras enfermedades intestinales especificadas debidas a protozoarios
A079,Enfermedad intestinal debida a protozoarios, no especificada
A08,Infecciones intestinales debidas a virus y otros organismos especificados
A080,Enteritis debida a rotavirus
A081,Gastroenteropatia aguda debida al agente de norwalk
A082,Enteritis debida a adenovirus
A083,Otras enteritis virales
A084,Infeccion intestinal viral, sin otra especificacion
A085,Otras infecciones intestinales especificadas
A09,Diarrea y gastroenteritis de presunto origen infeccioso
A15,Tuberculosis respiratoria, confirmada bacteriologica e histologicamente
A150,Tuberculosis del pulmon, confirmada por hallazgo microscopico del bacilo tuberculoso en esputo, con o sin cultivo
A151,Tuberculosis del pulmon, confirmada unicamente por cultivo
A152,Tuberculosis del pulmon, confirmada histologicamente
A153,Tuberculosis del pulmon , confirmada por medios no especificados
A154,Tuberculosis de ganglios linfaticos intratoracicos, confirmada bacteriologica e histologicamente
A155,Tuberculosis de laringe, traquea y bronquios, confirmada bacteriologica e histologicamente
A156,Pleuresia tuberculosa, confirmada bacteriologica e histologicamente
A157,Tuberculosis respiratoria primaria, confirmada bacteriologica e histologicamente
A158,Otras tuberculosis respiratorias, confirmadas bacteriologica e histologicamente
A159,Tuberculosis respiratoria no especificada, confirmada bacteriologicamente e histologicamente
A16,Tuberculosis respiratoria, no confirmada bacteriologica e histologicamente
A160,Tuberculosis del pulmon, con examen bacteriologico e histologico negativos
A161,Tuberculosis del pulmon, sin examen bacteriologico e histologico
A162,Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica
A163,Tuberculosis de ganglios linfaticos intratoracicos, sin mencion de confirmacion bacteriologica o histologica
A164,Tuberculosis de laringe, traquea y bronquios, sin mencion de confirmacion bacteriologica o histologica
A165,Pleuresia tuberculosa, sin mencion de confirmacion bacteriologica e histologica
A167,Tuberculosis respiratoria primaria, sin mencion de confirmacion bacteriologica e histologica
A168,Otras tuberculosis respiratorias, sin mencion de confirmacion
A169,Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica
A17,Tuberculosis del sistema nervioso
A170,Meningitis tuberculosa (g01)
A171,Tuberculoma meningeo (g07)
A178,Otras tuberculosis del sistema nervioso
A179,Tuberculosis del sistema nervioso, no especificada (g99.8)
A18,Tuberculosis de otros organos
A180,Tuberculosis de huesos y articulaciones
A181,Tuberculosis del aparato genitourinario
A182,Linfadenopatia periferica tuberculosa
A183,Tuberculosis de los intestinos, el peritoneo y los ganglios mesentericos
A184,Tuberculosis de la piel y el tejido subcutaneo
A185,Tuberculosis del ojo
A186,Tuberculosis del oido
A187,Tuberculosis de glandulas suprarrenales (e35.1)
A188,Tuberculosis de otros organos especificados
A19,Tuberculosis miliar
A190,Tuberculosis miliar aguda de un solo sitio especificado
A191,Tuberculosis miliar aguda de sitios multiples
A192,Tuberculosis miliar aguda, no especificada
A198,Otras tuberculosis miliares
A199,Tuberculosis miliar, sin otra especificacion
A20,Peste
A200,Peste bubonica
A201,Peste celulocutanea
A202,Peste neumonica
A203,Meningitis por peste
A207,Peste septicemica
A208,Otras formas de peste
A209,Peste, no especificada
A21,Tularemia
A210,Tularemia ulceroglandular
A211,Tularemia oculoglandular
A212,Tularemia pulmonar
A213,Tularemia gastrointestinal
A217,Tularemia generalizada
A218,Otras formas de tularemia
A219,Tularemia , no especificada
A22,Carbunco (ántrax)
A220,Carbunco cutaneo
A221,Carbunco pulmonar
A222,Carbunco gastrointestinal
A227,Carbunco septicemico
A228,Otras formas de carbunco
A229,Carbunco, no especificado
A23,Brucelosis
A230,Brucelosis debida a brucella melitensis
A231,Brucelosis debida a brucella abortus
A232,Brucelosis debida a brucella suis
A233,Brucelosis debida a brucella canis
A238,Otras brucelosis
A239,Brucelosis, no especificada
A24,Muermo y melioidosis
A240,Muermo
A241,Melioidosis aguda y fulminante
A242,Melioidosis subaguda y cronica
A243,Otras melioidosis
A244,Melioidosis , no especificada
A25,Fiebre por mordedura de rata
A250,Espirilosis
A251,Estreptobacilosis
A259,Fiebre por mordedura de rata, no especificada
A26,Erisipeloide
A260,Erisipeloide cutaneo
A267,Septicemia por erysipelothrix
A268,Otras formas de erisipeloide
A269,Erisipeloide, no especificada
A27,Leptospirosis
A270,Leptospirosis icterohemorragica
A278,Otras formas de leptospirosis
A279,Leptospirosis, no especificada
A28,Otras enfermedades zoonoticas bacterianas, no clasificadas en otra parte
A280,Pasteurelosis
A281,Enfermedad por rasguño de gato
A282,Yersiniosis extraintestinal
A288,Otras enfermedades zoonoticas bacterianas especificadas, no clasificadas en otra parte
A289,Enfermedad zoonotica bacteriana, sin otra especificacion
A30,Lepra (enfermedad de Hansen)
A300,Lepra indeterminada
A301,Lepra tuberculoide
A302,Lepra tuberculoide limitrofe
A303,Lepra limitrofe
A304,Lepra lepromatosa limitrofe
A305,Lepra lepromatosa
A308,Otras formas de lepra
A309,Lepra, no especificada
A31,Infecciones debidas a otras micobacterias
A310,Infecciones por micobacterias pulmonares
A311,Infeccion cutanea por micobacterias
A318,Otras infecciones por micobacterias
A319,Infeccion por micobacteria, no especificada
A32,Listeriosis
A320,Listeriosis cutanea
A321,Meningitis y meningoencefalitis listeriana
A327,Septicemia listeriana
A328,Otras formas de listeriosis
A329,Listeriosis, no especificada
A33,Tetanos neonatal
A34,Tetanos obstetrico
A35,Otros tetanos
A36,Difteria
A360,Difteria faringea
A361,Difteria nasofaringea
A362,Difteria laringea
A363,Difteria cutanea
A368,Otras difterias
A369,Difteria, no especificada
A37,Tos ferina (tos convulsiva)
A370,Tos ferina debida a bordetella pertussis
A371,Tos ferina debida a bordetella parapertussis
A378,Tos ferina debida a otras especies de bordetella
A379,Tos ferina, no especificada
A38,Escarlatina
A39,Infeccion meningococica
A390,Meningitis meningococica (g01)
A391,Sindrome de waterhouse
A392,Meningococemia aguda
A393,Meningococemia cronica
A394,Meningococemia, no especificada
A395,Enfermedad cardiaca debida a meningococo
A398,Otras infecciones meningococicas
A399,Infeccion meningococica, no especificada
A40,Septicemia estreptococica
A400,Septicemia debida a estreptococo, grupo a
A401,Septicemia debida a estreptococo, grupo b
A402,Septicemia debida a estreptococo, grupo d
A403,Septicemia debida a streptococcus pneumoniae
A408,Otras septicemias estreptococicas
A409,Septicemia estreptococica, no especificada
A41,Otras septicemias
A410,Septicemia debida staphylococcus aureus
A411,Septicemia debida a otro estafilococo especificado
A412,Septicemia debida a estafilococo no especificado
A413,Septicemia debida a haemophilus influenzae
A414,Septicemia debida a anaerobios
A415,Septicemia debida a otros organismos gramnegativos
A418,Otras septicemias especificadas
A419,Septicemia, no especificada
A42,Actinomicosis
A420,Actinomicosis pulmonar
A421,Actinomicosis abdominal
A422,Actinomicosis cervicofacial
A427,Septicemia actinomicotica
A428,Otras formas de actinomicosis
A429,Actinomicosis, sin otra especificacion
A43,Nocardiosis
A430,Nocardiosis pulmonar
A431,Nocardiosis cutanea
A438,Otras formas de nocardiosis
A439,Norcardiosis , no especificada
A44,Bartonelosis
A440,Bartonelosis sistemica
A441,Bartonelosis cutanea y mucocutanea
A448,Otras formas de bartonelosis
A449,Bartonelosis, no especificada
A46,Erisipela
A48,Otras enfermedades bacterianas, no clasificadas en otra parte
A480,Gangrena gaseosa
A481,Enfermedad de los legionarios
A482,Enfermedad de los legionarios no neumonica [fiebre de pontiac]
A483,Sindrome de choque toxico
A484,Fiebre purpurica brasileña
A488,Otras enfermedades bacterianas especificadas
A49,Infeccion bacteriana de sitio no especificado
A490,Infeccion estafilococica, sin otra especificacion
A491,Infeccion estreptococica, sin otra especificacion
A492,Infeccion por haemophilus influenzae, sin otra especificacion
A493,Infeccion por micoplasma, sin otra especificacion
A498,Otras infecciones bacterianas de sitio no especificado
A499,Infeccion bacteriana, no especificada
A500,Sifilis congenita precoz, sintomatica
A501,Sifilis congenita precoz, latente
A502,Sifilis congenita precoz sin otra especificacion
A503,Oculopatia sifilitica congenita tardia
A504,Neurosifilis congenita tardia [neurosifilis juvenil]
A505,Otras formas de sifilis congenita tardia, sintomatica
A506,Sifilis congenita tardia, latente
A507,Sifilis congenita tardia, sin otra especificacion
A509,Sifilis congenita, sin otra especificacion
A510,Sifilis genital primaria
A511,Sifilis primaria anal
A512,Sifilis primaria en otros sitios
A513,Sifilis secundaria de piel y membranas mucosas
A514,Otras sifilis secundarias
A515,Sifilis precoz, latente
A519,Sifilis precoz, sin otra especificacion
A52,Sífilis tardía
A520,Sifilis cardiovascular
A521,Neurosifilis sintomatica
A522,Neurosifilis asintomatica
A523,Neurosifilis no especificada
A527,Otras sifilis tardias sintomaticas
A528,Sifilis tardia, latente
A529,Sifilis tardia, no especificada
A53,Otras sífilis y las no especificadas
A530,Sifilis latente, no especificada como precoz o tardia
A539,Sifilis, no especificada
A54,Infeccion gonococica
A540,Infeccion gonococica del tracto genitourinario inferior sin absceso periuretral o de glandula accesoria
A541,Infeccion gonococica del tracto genitourinario inferior con absceso periuretral y de glandulas accesorias
A542,Pelviperitonitis gonococica y otras infecciones gonococicas genitourinarias
A543,Infeccion gonococica del ojo
A544,Infeccion gonococica del sistema osteomuscular
A545,Faringitis gonococica
A546,Infeccion gonococica del ano y del recto
A548,Otras infecciones gonococicas
A549,Infeccion, gonococica, no especificada
A55,Linfogranuloma (venereo) por clamidias
A56,Otras enfermedades de transmision sexual debidas a clamidias
A560,Infeccion del tracto genitourinario inferior debida a clamidias
A561,Infeccion del pelviperitoneo y otros organos genitourinarios debida a clamidias
A562,Infecciones del tracto genitourinario debidas a clamidias, sin otra especificacion
A563,Infeccion del ano y del recto debida a clamidias
A564,Infeccion de faringe debida a clamidias
A568,Infeccion de transmision sexual de otros sitios debida a clamidias
A57,Chancro blando
A58,Granuloma inguinal
A59,Tricomoniasis
A590,Tricomoniasis urogenital
A598,Tricomoniasis de otros sitios
A599,Tricomoniasis, no especificada
A60,Infeccion anogenital debida a virus del herpes (herpes simple)
A600,Infeccion de genitales y trayecto urogenital y debida a virus del herpes [herpes simple]
A601,Infeccion de la piel perianal y recto por virus del herpes simple
A609,Infeccion anogenital por virus del herpes simple, sin otra especificacion
A63,Otras enfermedades de transmision predominantemente sexual, no clasificadas en otrasa parte
A630,Verrugas (venereas) anogenitales
A638,Otras enfermedades de transmision predominantemente sexual, especificadas
A64,Enfermedad de transmision sexual no especificada
A65,Sifilis no venerea
A66,Frambesia
A660,Lesiones iniciales de frambesia
A661,Lesiones papilomatosas multiples y frambesia con paso de cangrejo
A662,Otras lesiones precoces de la piel en la frambesia
A663,Hiperqueratosis de frambesia
A664,Goma y ulceras de frambesia
A665,Gangosa
A666,Lesiones frambesicas de los huesos y de las articulaciones
A667,Otras manifestaciones de frambesia
A668,Frambesia latente
A669,Frambesia , no especificada
A67,Pinta (carate)
A670,Lesiones primarias de la pinta
A671,Lesiones intermedias de la pinta
A672,Lesiones tardias de la pinta
A673,Lesiones mixtas de la pinta
A679,Pinta, no especificada
A68,Fiebres recurrentes
A680,Fiebre recurrente transmitida por piojos
A681,Fiebre recurrente transmitida por garrapatas
A689,Fiebre recurrente, no especificada
A69,Otras infecciones causadas por espiroquetas
A690,Estomatitis ulcerativa necrotizante
A691,Otras infecciones de vicent
A692,Enfermedad de lyme
A698,Otras infecciones especificadas por espiroquetas
A699,Infeccion por espiroqueta, no especificada
A70,Infeccion debida a chlamydia psittaci
A71,Tracoma
A710,Estado inicial de tracoma
A711,Estado activo de tracoma
A719,Tracoma, no especificado
A74,Otras enfermedades causadas por clamidias
A740,Conjuntivitis por clamidias (h13.1)
A748,Otras enfermedades por clamidias
A749,Infeccion por clamidias, no especificada
A75,Tifus
A750,Tifus epidemico debido a rickettsia prowazekii transmitido por piojos
A751,Tifus recrudescente [enfermedad de brill]
A752,Tifus debido a rickettsia typhi
A753,Tifus debido a rickettsia tsutsugamushi
A759,Tifus, no especificado
A77,Fiebre maculosa (rickettsiosis transmitida por garrapatas)
A770,Fiebre maculosa debido a rickettsia rickettsii
A771,Fiebre maculosa debido a rickettsia conorii
A772,Fiebre maculosa debido a rickettsia siberica
A773,Fiebre maculosa debido a rickettsia australis
A778,Otras fiebres maculosas
A779,Fiebre maculosa, no especificada
A78,Fiebre q
A79,Otras rickettsiosis
A790,Fiebre de las trincheras
A791,Rickettsiosis pustulosa debida a rickettsia akari
A798,Otras rickettsiosis especificadas
A799,Rickettsiosis, no especificada
A80,Poliomielitis aguda
A800,Poliomielitis aguda paralitica, asociada a vacuna
A801,Poliomielitis aguda paralitica debida a virus salvaje importado
A802,Poliomielitis aguda paralitica debida a virus salvaje autoctono
A803,Otras poliomielitis agudas paraliticas, y no las especificadas
A804,Poliomielitis aguda no paralitica
