codigo;descripcion;campo;;
D250;Leiomioma submucoso del utero;;;
D251;Leiomioma intramural del utero;;;
D252;Leiomioma subseroso del utero;;;
D259;Leiomioma del utero; sin otra especificacion;;
D26;Otros tumores benignos del utero;;;
D260;Tumor benigno del cuello del utero;;;
D261;Tumor benigno del cuerpo del utero;;;
D267;Tumor benigno de otras partes especificadas del utero;;;
D269;Tumor benigno del utero; parte no especificada;;
D27;Tumor benigno del ovario;;;
D28;Tumor benigno de otros organos genitales femeninos y de los no especificados;;;
D280;Tumor benigno de la vulva;;;
D281;Tumor benigno de la vagina;;;
D282;Tumor benigno de la trompa de falopio y de los ligamentos uterinos;;;
D287;Tumor benigno de otros sitios especificados de los organos genitales femeninos;;;
D289;Tumor benigno de organo genital femenino; sitio no especificado;;
D29;Tumor benigno de los organos genitales masculinos;;;
D290;Tumor benigno del pene;;;
D291;Tumor benigno de la prostata;;;
D292;Tumor benigno de los testiculos;;;
D293;Tumor benigno del epididimo;;;
D294;Tumor benigno del escroto;;;
D297;Tumor benigno de otros organos genitales masculinos;;;
D299;Tumor benigno de organo genital masculino; sitio no especificado;;
D30;Tumor benigno de los organos urinarios;;;
D300;Tumor benigno del riñon;;;
D301;Tumor benigno de la pelvis renal;;;
D302;Tumor benigno del ureter;;;
D303;Tumor benigno de la vejiga;;;
D304;Tumor benigno de la uretra;;;
D307;Tumor benigno de otros organos urinarios;;;
D309;Tumor benigno de organo urinario no especificado;;;
D31;Tumor benigno del ojo y sus anexos;;;
D310;Tumor benigno de la conjuntiva;;;
D311;Tumor benigno de la cornea;;;
D312;Tumor benigno de la retina;;;
D313;Tumor benigno de la coroides;;;
D314;Tumor benigno del cuerpo ciliar;;;
D315;Tumor benigno de las glandulas y de los conductos lagrimales;;;
D316;Tumor benigno de la orbita; parte no especificada;;
D319;Tumor benigno del ojo; parte no especificada;;
D32;Tumor benigno de las meninges;;;
D320;Tumor benigno de las meninges cerebrales;;;
D321;Tumor benigno de las meninges raquideas;;;
D329;Tumor benigno de las meninges; parte no especificada;;
D33;Tumor benigno del encefalo y de otras partes del sistema nervioso central;;;
D330;Tumor benigno del encefalo; supratentorial;;
D331;Tumor benigno del encefalo; infratentorial;;
D332;Tumor benigno de encefalo; parte no especificada;;
D333;Tumor benigno de los nervios craneales;;;
D334;Tumor benigno de la medula espinal;;;
D337;Tumor benigno de otras partes especificadas del sistema nervioso central;;;
D339;Tumor benigno del sistema nervioso central; sitio no especificado;;
D34;Tumor benigno de la glandula tiroides;;;
D35;Tumor benigno de otras glandulas endocrinas y de las no especificadas;;;
D350;Tumor benigno de la glandula suprarrenal;;;
D351;Tumor benigno de la glandula paratiroides;;;
D352;Tumor benigno de la hipofisis;;;
D353;Tumor benigno del conducto craneofaringeo;;;
D354;Tumor benigno de la glandula pineal;;;
D355;Tumor benigno del cuerpo carotideo;;;
D356;Tumor benigno del cuerpo aortico y de otros cuerpos cromafines;;;
D357;Tumor benigno de otras glandulas endocrinas especificadas;;;
D358;Tumor benigno de pluriglandular;;;
D359;Tumor benigno de glandula endocrina no especificada;;;
D36;Tumor benigno de otros sitios y de los no especificados;;;
D360;Tumor benigno de los ganglios linfaticos;;;
D361;Tumor benigno de los nervios perifericos y del sistema nervioso autonomo;;;
D367;Tumor benigno de otros sitios especificados;;;
D369;Tumor benigno de sitio no especificado;;;
D37;Tumor de comportamiento incierto de la cavidad bucal y de los organos digestivos;;;
D370;Tumor de comportamiento incierto o desconocido del labio; de la cavidad bucal y de la faringe;;
D371;Tumor de comportamiento incierto o desconocido del estomago;;;
D372;Tumor de comportamiento incierto o desconocido del intestino delgado;;;
D373;Tumor de comportamiento incierto o desconocido del apendice;;;
D374;Tumor de comportamiento incierto o desconocido del colon;;;
D375;Tumor de comportamiento incierto o desconocido del recto;;;
D376;Tumor de comportamiento incierto o desconocido del higado; de la vesicula biliar y del conducto biliar;;
D377;Tumor de comportamiento incierto o desconocido de otros organos digestivos especificados;;;
D379;Tumor de comportamiento incierto o desconocido de organos digestivos; sitio no especificado;;
D38;Tumor de comportamiento incierto del oido medio y de los organos respiratorios e intratoracicos;;;
D380;Tumor de comportamiento incierto o desconocido de laringe;;;
D381;Tumor de comportamiento incierto o desconocido de la traquea; de los bronquios y del pulmon;;
D382;Tumor de comportamiento incierto o desconocido de la pleura;;;
D383;Tumor de comportamiento incierto o desconocido del mediastino;;;
D384;Tumor de comportamiento incierto o desconocido del timo;;;
D385;Tumor de comportamiento incierto o desconocido de otros organos respiratorios y del oido medio;;;
D386;Tumor de comportamiento incierto o desconocido de organos respiratorios; sitio no especificado;;
D39;Tumor de comportamiento incierto de los organos genitales femeninos;;;
D390;Tumor de comportamiento incierto o desconocido del utero;;;
D391;Tumor de comportamiento incierto o desconocido del ovario;;;
D392;Tumor de comportamiento incierto o desconocido de la placenta;;;
D397;Tumor de comportamiento incierto o desconocido de otros organos genitales femeninos;;;
D399;Tumor de comportamiento incierto o desconocido de organo genital femenino no especificado;;;
D40;Tumor de comportamiento incierto de los organos genitales masculinos;;;
D400;Tumor de comportamiento incierto o desconocido de la prostata;;;
D401;Tumor de comportamiento incierto o desconocido del testiculo;;;
D407;Tumor de comportamiento incierto o desconocido de otros organos genitales masculinos;;;
D409;Tumor de comportamiento incierto o desconocido de organo genital masculino no especificado;;;
D41;Tumor de comportamiento incierto de los organos urinarios;;;
D410;Tumor de comportamiento incierto o desconocido del riñon;;;
D411;Tumor de comportamiento incierto o desconocido dec la pelvis renal;;;
D412;Tumor de comportamiento incierto o desconocido del ureter;;;
D413;Tumor de comportamiento incierto o desconocido de la uretra;;;
D414;Tumor de comportamiento incierto o desconocido de la vejiga;;;
D417;Tumor de comportamiento incierto o desconocido de otros organos urinarios;;;
D419;Tumor de comportamiento incierto o desconocido de organo urinario no especificado;;;
D42;Tumor de comportamiento incierto de las meninges;;;
D420;Tumor de comportamiento incierto o desconocido de las meninges cerebrales;;;
D421;Tumor de comportamiento incierto o desconocido de las meninges raquideas;;;
D429;Tumor de comportamiento incierto o desconocido de las meninges; parte no especificada;;
D43;Tumor de comportamiento incierto del encefalo y del sistema nervioso central;;;
D430;Tumor de comportamiento incierto o desconocido del encefalo; supratentorial;;
D431;Tumor de comportamiento incierto o desconocido del encefalo; infratentorial;;
D432;Tumor de comportamiento incierto o desconocido del encefalo; parte no especificada;;
D433;Tumor de comportamiento incierto o desconocido de los nervios craneales;;;
D434;Tumor de comportamiento incierto o desconocido de la medula espinal;;;
D437;Tumor de comportamiento incierto o desconocido de otras partes especificadas del sistema nervioso central;;;
D439;Tumor de comportamiento incierto o desconocido del sistema nervioso central; sitio no especificado;;
D44;Tumor de comportamiento incierto de las glandulas endocrinas;;;
D440;Tumor de comportamiento incierto o desconocido de la glandula tiroides;;;
D441;Tumor de comportamiento incierto o desconocido de la glandula suprarrenal;;;
D442;Tumor de comportamiento incierto o desconocido de la glandula paratiroides;;;
D443;Tumor de comportamiento incierto o desconocido de la glandula hipofisis;;;
D444;Tumor de comportamiento incierto o desconocido del conducto craneofaringeo;;;
D445;Tumor de comportamiento incierto o desconocido de la glandula pineal;;;
D446;Tumor de comportamiento incierto o desconocido del cuerpo carotideo;;;
D447;Tumor de comportamiento incierto o desconocido del cuerpo aortico y otros cromafines;;;
D448;Tumor de comportamiento incierto o desconocido con afectacion pluriglandular;;;
D449;Tumor de comportamiento incierto o desconocido de glandula endocrina no especificada;;;
D45;Policitemia vera;;;
D46;Sindromes mielodisplasicos;;;
D460;Anemia refractaria sin sideroblastos; asi descrita;;
D461;Anemia refractaria con sideroblastos;;;
D462;Anemia refractaria con exceso de blastos;;;
D463;Anemia refractaria con exceso de blastos con transformacion;;;
D464;Anemia refractaria; sin otra especificacion;;
D467;Otros sindromes mielodisplasicos;;;
D469;Sindrome mielodisplasico; sin otra especificacion;;
D47;Otros tumores de comportamiento incierto o desconocido del tejido linfatico; de los organos hematopoyeticos y de tejidos afines;;
D470;Tumor de comportamiento incierto o desconocido de los mastocitos e histiocitos;;;
D471;Enfermedad mieloproliferativa cronica;;;
D472;Gammopatia monoclonal;;;
D473;Trombocitopenia (hemorragica) esencial;;;
D477;Otros tumores especificados de comportamiento incierto o desconocido del tejido linfatico; de los organos hematopoyeticos y de tejidos afines;;
D479;Tumores de comportamiento incierto o desconocido del tejido linfatico; de los organos hematopoyeticos y de tejidos afines; no especificados;
D48;Tumor de comportamiento incierto o desconocido de otros sitios y de los no especificados;;;
D480;Tumor de comportamiento incierto o desconocido del hueso y cartilago articular;;;
D481;Tumor de comportamiento incierto o desconocido del tejido conjuntivo y otro tejido blando;;;
D482;Tumor de comportamiento incierto o desconocido de los nervios perifericos y del sistema nervioso autonomo;;;
D483;Tumor de comportamiento incierto o desconocido del retroperitoneo;;;
D484;Tumor de comportamiento incierto o desconocido del peritoneo;;;
D485;Tumor de comportamiento incierto o desconocido de la piel;;;
D486;Tumor de comportamiento incierto o desconocido de la mama;;;
D487;Tumor de comportamiento incierto o desconocido de otros sitios especificados;;;
D489;Tumor de comportamiento incierto o desconocido; de sitio no especificado;;
D50;Anemias por deficiencia de hierro;;;
D500;Anemia por deficiencia de hierro secundaria a perdida de sangre (cronica);;;
D501;Disfagia sideropenica;;;
D508;Otras anemias por deficiencia de hierro;;;
D509;Anemia por deficiencia de hierro sin otra especificacion;;;
D51;Anemia por deficiencia de vitamina b12;;;
D510;Anemia por deficiencia de vitamina b12 debida a deficiencia del factor intrinseco;;;
D511;Anemia por deficiencia de vitamina b12 debida a mala absorcion selectiva de vitamina b12 con proteinuria;;;
D512;Deficiencia de trascobalamina ii;;;
D513;Otras anemias por deficiencia dietetica de vitamina b12;;;
D518;Otras anemias por deficiencia de vitamina b12;;;
D519;Anemia por deficiencia de vitamina b12; sin otra especificacion;;
D52;Anemia por deficiencia de folatos;;;
D520;Anemia por deficiencia dietetica de folatos;;;
D521;Anemia por deficiencia de folatos inducida por drogas;;;
D528;Otras anemias por deficiencia de folatos;;;
D529;Anemia por deficiencia de folatos; sin otra especificacion;;
D53;Otras anemias nutricionales;;;
D530;Anemia por deficiencia de proteinas;;;
D531;Otras anemias megaloblasticas; no clasificadas en otra parte;;
D532;Anemia escorbutica;;;
D538;Otras anemias nutricionales especificadas;;;
D539;Anemia nutricional; no especificada;;
D55;Anemia debida a trastornos enzimaticos;;;
D550;Anemia debida a deficiencia de glucosa;;;
D551;Anemia debida a otros trastornos del metabolismo del glutation;;;
D552;Anemia debida a trastornos de las enzimas glucoliticas;;;
D553;Anemia debida a trastornos del metabolismo de los nucleotidos;;;
D558;Otras anemias debidas a trastornos enzimaticos;;;
D559;Anemia debida a trastornos enzimaticos; sin otra especificacion;;
D56;Talasemia;;;
D560;Alfa talasemia;;;
D561;Beta talasemia;;;
D562;Delta;;;
D563;Rasgo talasemico;;;
D564;Persistencia hereditaria de la hemoglobina fetal (phhf);;;
D568;Otras talasemias;;;
D569;Talasemia; no especificada;;
D57;Trastornos falciformes;;;
D570;Anemia falciforme con crisis;;;
D571;Anemia falciforme sin crisis;;;
D572;Trastornos falciformes heterocigoticos dobles;;;
D573;Rasgo drepanocitico;;;
D578;Otros trastornos falciformes;;;
D58;Otras anemias hemoliticas hereditarias;;;
D580;Esferocitosis hereditaria;;;
D581;Eliptocitosis hereditaria;;;
D582;Otras hemoglobinopatias;;;
D588;Otras anemias hemoliticas hereditarias especificadas;;;
D589;Anemia hemolitica hereditaria; sin otra especificacion;;
D59;Anemia hemolitica adquirida;;;
D590;Anemia hemolitica autoinmune inducida por drogas;;;
D591;Otras anemias hemoliticas autoinmunes;;;
D592;Anemia hemolitica no autoinmune inducida por drogas;;;
D593;Sindrome hemolitico;;;
D594;Otras anemias hemoliticas no autoinmunes;;;
D595;Hemoglobinuria paroxistica nocturna [marchiafava;;;
D596;Hemoglobinuria debida a hemolisis por otras causas externas;;;
D598;Otras anemias hemoliticas adquiridas;;;
D599;Anemias hemolitica adquirida; sin otra especificacion;;
