codigo,descripcion,campo
I312,Hemopericardio, no clasificado en otra parte
I313,Derrame pericardico (no inflamatorio)
I318,Otras enfermedades especificadas del pericardio
I319,Enfermedad del pericardio, no especificada
I32,Pericarditis en enfermedades clasificadas en otra parte
I320,Pericarditis en enfermedades bacterianas clasificadas en otra parte
I321,Pericarditis en otras enfermedades infecciosas y parasitarias clasificadas en otra parte
I328,Pericarditis en otras enfermedades clasificadas en otra parte
I33,Endocarditis aguda y subaguda
I330,Endocarditis infecciosa aguda y subaguda
I339,Endocarditis aguda, no especificada
I34,Trastornos no reumaticos de la valvula mitral
I340,Insuficiencia (de la valvula) mitral
I341,Prolapso (de la valvula) mitral
I342,Estenosis (de la valvula) mitral, no reumatica
I348,Otros trastornos no reumaticos de la valvula mitral
I349,Trastorno mitral no reumatico, no especificado
I35,Trastornos no reumaticos de la valvula aortica
I350,Estenosis (de la valvula) aortica
I351,Insuficiencia (de la valvula) aortica
I352,Estenosis (de la valvula) aortica con insuficiencia
I358,Otros trastornos de la valvula aortica
I359,Trastorno de la valvula aortica, no especificado
I36,Trastornos no reumaticos de la valvula tricuspide
I360,Estenosis no reumatica (de la valvula) tricuspide)
I361,Insuficiencia no reumatica (de la valvula) tricuspide
I362,Estenosis con insuficiencia no reumatica (de la valvula) tricuspide
I368,Otros trastornos no reumaticos de la valvula tricuspide
I369,Trastorno no reumatico de la valvula tricuspide, no especificado
I37,Trastornos de la valvula pulmonar
I370,Estenosis de la valvula pulmonar
I371,Insuficiencia de la valvula pulmonar
I372,Estenosis de la valvula pulmonar con insuficiencia
I378,Otros trastornos de la valvula pulmonar
I379,Trastorno de la valvula pulmonar, no especificado
I38,Endocarditis, valvula no especificada
I39,Endocarditis y trastornos valvulares en enfermedades clasificadas en otra parte
I390,Trastornos de la valvula mitral en enfermedades clasificadas en otra parte
I391,Trastornos de la valvula aortica en enfermedades clasificadas en otra parte
I392,Trastornos de la valvula tricuspide en enfermedades clasificadas en otra parte
I393,Trastornos de la valvula pulmonar en enfermedades clasificadas en otra parte
I394,Trastornos de la valvulares multiples en enfermedades clasificadas en otra parte
I398,Endocarditis, valvula no especificada, en enfermedades clasificadas en otra parte
I40,Miocarditis aguda
I400,Miocarditis infecciosa
I401,Miocarditis aislada
I408,Otras miocarditis agudas
I409,Miocarditis aguda, no especificada
I41,Miocarditis en enfermedades clasificadas en otra parte
I410,Miocarditis en enfermedades bacterianas clasificadas en otra parte
I411,Miocarditis en enfermedades virales clasificadas en otra parte
I412,Miocarditis en otras enfermedades infecciosas y parasitarias clasificadas en otra parte
I418,Miocarditis en otras enfermedades clasificadas en otra parte
I42,Cardiomiopatia
I420,Cardiomiopatia dilatada
I421,Cardiomiopatia hipertrofica obstructiva
I422,Otras cardiomiopatia hipertroficas
I423,Enfermedad endomiocardica (eosinofilica)
I424,Fibroelastosis endocardica
I425,Otras cardiomiopatias restrictivas
I426,Cardiomiopatia alcoholica
I427,Cardiomiopatia debida a drogas y a otros agentes externos
I428,Otras cardiomiopatia
I429,Cardiomiopatia, no especificada
I43,Cardiomiopatia en enfermedades clasificadas en otra parte
I430,Cardiomiopatia en enfermedades infecciosas y parasitarias clasificadas en otra parte
I431,Cardiomiopatia en enfermedades metabolicas
I432,Cardiomiopatia en enfermedades nutricionales
I438,Cardiomiopatia en otras enfermedades clasificadas en otra parte
I44,Bloqueo auriculoventricular y de rama izquierda del haz
I440,Bloqueo auriculoventricular de primer grado
I441,Bloqueo auriculoventricular de segundo grado
I442,Bloqueo auriculoventricular completo
I443,Otros tipos de bloqueo auriculoventricular y los no especificados
I444,Bloqueo fascicular anterior izquierdo
I445,Bloqueo fascicular posterior izquierdo
I446,Otros tipos de bloqueo fascicular y los no especificados
I447,Bloqueo de rama izquierda del haz, sin otra especificacion
I45,Otros trastornos de la conduccion
I450,Bloqueo fascicular derecho
I451,Otros tipos de bloqueo de rama derecha del haz y los no especificados
I452,Bloqueo bifascicular
I453,Bloqueo trifascicular
I454,Bloqueo intraventricular no especificado
I455,Otros tipos especificados de bloqueo del corazon
I456,Sindrome de preexcitacion
I458,Otros trastornos especificados de la conduccion
I459,Trastorno de la conduccion, no especificado
I46,Paro cardiaco
I460,Paro cardiaco con resucitacion exitosa
I461,Muerte cardiaca subita, asi descrita
I469,Paro cardiaco, no especificado
I47,Taquicardia paroxistica
I470,Arritmia por reentrada ventricular
I471,Taquicardia supraventricular
I472,Taquicardia ventricular
