codigo,descripcion,campo
R465,Suspicacia y evasividad marcadas
R466,Preocupacion indebida por sucesos que causan tension
R467,Verbosidad y detalles circunstanciales que oscurecen la razon de la consulta o el contacto
R468,Otros sintomas y signos que involucran la apariencia y el comportamiento
R47,Alteraciones del habla no clasificadas en otra parte
R470,Disfasia y afasia
R471,Disartria y anartria
R478,Otras alteraciones del habla y las no especificadas
R48,Dislexia y otras disfunciones simbolicas no clasificadas en otra parte
R480,Dislexia y alexia
R481,Agnosia
R482,Apraxia
R488,Otras disfunciones simbolicas y las no especificadas
R49,Alteraciones de la voz
R490,Disfonia
R491,Afonia
R492,Hipernasalidad e hiponasalidad
R498,Otras alteraciones de la voz y las no especificadas
R50,Fiebre de origen desconocido
R500,Fiebre con escalofrio
R501,Fiebre persistente
R509,Fiebre, no especificada
R51,Cefalea
R52,Dolor no clasificadas en otra parte
R520,Dolor agudo
R521,Dolor cronico intratable
R522,Otro dolor cronico
R529,Dolor, no especificado
R53,Malestar y fatiga
R54,Senilidad
R55,Sincope y colapso
R56,Convulsiones no clasificadas en otra parte
R560,Convulsiones febriles
R568,Otras convulsiones y las no especificadas
R57,Choque no clasificado en otra parte
R570,Choque cardiogenico
R571,Choque hipovolemico
R578,Otras formas de choque
R579,Choque , no especificado
R58,Hemorragia no clasificadas en otra parte
R59,Adenomegalia
R590,Adenomegalia localizada
R591,Adenomegalia generalizada
R599,Adenomegalia, no especificada
R60,Edema no clasificado en otra parte
R600,Edema localizado
R601,Edema generalizado
R609,Edema, no especificado
R61,Hiperhidrosis
R610,Hiperhidrosis localizada
R611,Hiperhidrosis generalizada
R619,Hiperhidrosis, no especificada
R62,Falta del desarrollo fisiologico normal esperado
R620,Retardo en desarrollo
R628,Otras faltas del desarrollo fisiologico normal esperado
R629,Falta del desarrollo fisiologico normal esperado sin otra especificacion
R63,Sintomas y signos que involucran concernientes a la alimentacion e ingestion de liquidos
R630,Anorexia
R631,Polidipsia
R632,Polifagia
R633,Dificultades y mala administracion de la alimentacion
R634,Perdida anormal de peso
R635,Aumento anormal de peso
R638,Otros sintomas y signos concernientes a la alimentacion y a la ingestion de liquidos
R64,Caquexia
R68,Otros sintomas y signos generales
R680,Hipotermia no asociada con baja temperatura del ambiente
R681,Sintomas no especificos propios de la infancia
R682,Boca seca, no especificada
R683,Dedos de la mano deformes
R688,Otros sintomas y signos generales especificados
R69,Causas de morbilidad desconocidas y no especificadas
R70,Velocidad de eritrosedimentacion elevada y otras anormalidades de la viscosidad del plasma
R700,Velocidad de eritrosedimentacion elevada
R701,Viscosidad plasmatica anormal
R71,Anormalidad de los eritrocitos
R72,Anormalidades de los leucocitos no clasificadas en otra parte
R73,Nivel elevado de glucosa en sangre
R730,Anormalidades en la prueba de tolerancia a la glucosa
R739,Hiperglicemia, no especificada
R74,Nivel anormal de enzimas en suero
R740,Elevacion de los niveles de transaminasas o deshidrogenasa lactica [dhl]
R748,Niveles anormales de otras enzimas en suero
R749,Nivel anormal de enzimas en suero, no especificado
R75,Evidencias de laboratorio del virus de la inmunodeficiencia humana [vih]
R76,Otros hallazgos inmunologicos anormales en suero
R760,Titulacion elevada de anticuerpos
R761,Reaccion anormal a la prueba con tuberculina
R762,Falso positivo en la prueba serologica para sifilis
R768,Otros hallazgos inmunologicos anormales especificados en suero
R769,Hallazgos inmunologicos anormales especificados en suero
R77,Otras anormalidades de las proteinas plasmaticas
R770,Anormalidad de la albumina
R771,Anormalidad de la globulina
R772,Anormalidad de la alfafetoproteina
R778,Otras anormalidades especificadas de las proteinas plasmaticas
R779,Anormalidades no especificadas de las proteinas plasmaticas
R78,Hallazgos de drogas y otras sustancias que normalmente no se encuentran en la sangre
R780,Hallazgo de alcohol en la sangre
R781,Hallazgo de drogas opiaceas en la sangre
R782,Hallazgo de cocaina en la sangre
R783,Hallazgo de alucinogenos en la sangre
R784,Hallazgo de otras drogas potencialmente adictivas en la sangre
R785,Hallazgo de drogas psicotropicas en la sangre
R786,Hallazgo de agentes esteroides en la sangre
R787,Hallazgo de niveles anormales de metales pesados en la sangre
R788,Hallazgo de otras sustancias especificas que normalmente no se encuentran en la sangre
R789,Hallazgo de sustancia no especifica que normalmente no se encuentran en la sangre
R79,Otros hallazgos anormales en la quimica sanguinea
R790,Nivel anormal de mineral en la sangre
R798,Otros hallazgos anormales especificados en la quimica sanguinea
R799,Hallazgo anormal en la quimica sanguinea, sin otra especificacion
R80,Proteinuria aislada
R81,Glucosuria
R82,Otros hallazgos anormales en la orina
R820,Quiluria
R821,Mioglobinuria
R822,Biliuria
R823,Hemoglobinuria
R824,Acetonuria
R825,Elevacion de los niveles de drogas, medicamentos y sustancias biologicas en la orina
R826,Niveles anormales en la orina de sustancias de origen principalmente no medicinal
R827,Hallazgos anormales en el examen microbiologico de la orina
R828,Hallazgos anormales en el examen citologico e histologico de la orina
R829,Otros hallazgos anormales en la orina y los no especificados
R83,Hallazgos anormales en el liquido cefalorraquideo
R830,Hallazgos anormales en el liquido cefalorraquideo: nivel anormal de enzimas
R831,Hallazgos anormales en el liquido cefalorraquideo: nivel anormal de hormonas
R832,Hallazgos anormales en el liquido cefalorraquideo: nivel anormal de otras drogas, medicamentos y sustancias biologicas
R833,Hallazgos anormales en el liquido cefalorraquideo: nivel anormal de sustancias de origen fundamentalmente no medicinal
R834,Hallazgos anormales en el liquido cefalorraquideo: hallazgos inmunologicos anormales
R835,Hallazgos anormales en el liquido cefalorraquideo: hallazgos microbiologicos anormales hallazgos positivos en el cultivo
R836,Hallazgos anormales en el liquido cefalorraquideo: hallazgos citologicos anormales, frotis anormal de papanicolaou
R837,Hallazgos anormales en el liquido cefalorraquideo: hallazgos histologicos anormales
R838,Hallazgos anormales en el liquido cefalorraquideo: otros hallazgos anormales, hallazgos cromosomicos anormales
R839,Hallazgos anormales en el liquido cefalorraquideo: hallazgos anormales, no especificados
R84,Hallazgos anormales en muestras tomadas de organos respiratorios y toracicoss
R840,Hallazgos anormales en muestras tomadas de organos respiratorios y toracicos: nivel anormal de enzimas
R841,Hallazgos anormales en muestras tomadas de organos respiratorios y toracicos: nivel anormal de hormonas
R842,Hallazgos anormales en muestras tomadas de organos respiratorios y toracicos: nivel anormal de otras drogas, medicamentos y sustancias biologicas
R843,Hallazgos anormales en muestras tomadas de organos respiratorios y toracicos: nivel anormal de sustancias de origen fundamentalmente no medicinal
R844,Hallazgos anormales en muestras tomadas de organos respiratorios y toracicos: hallazgos inmunologicos anormales
R845,Hallazgos anormales en muestras tomadas de organos respiratorios y toracicos: hallazgos microbiologicos anormales, hallazgos positivos en el cultivo
R846,Hallazgos anormales en muestras tomadas de organos respiratorios y toracicos: hallazgos citologicos anormales, frotis anormal de papanicolaou
R847,Hallazgos anormales en muestras tomadas de organos respiratorios y toracicos: hallazgos histologicos anormales
R848,Hallazgos anormales en muestras tomadas de organos respiratorios y toracicos: otros hallazgos anormales, hallazgos cromosomicos anormales
R849,Hallazgos anormales en muestras tomadas de organos respiratorios y toracicos: hallazgos anormales, no especificados
R85,Hallazgos anormales en muestras tomadas de organos digestivos y de la cavidad abdominal
R850,Hallazgos anormales en muestras tomadas de organos digestivos y de la cavidad abdominal: nivel anormal de enzimas
R851,Hallazgos anormales en muestras tomadas de organos digestivos y de la cavidad abdominal: nivel anormal de hormonas
R852,Hallazgos anormales en muestras tomadas de organos digestivos y de la cavidad abdominal: nivel anormal de otras drogas, medicamentos y sustancias biologicas
R853,Hallazgos anormales en muestras tomadas de organos digestivos y de la cavidad abdominal: nivel anormal de sustancias de origen fundamentalmente no medicinal
R854,Hallazgos anormales en muestras tomadas de organos digestivos y de la cavidad abdominal: hallazgos inmunologicos anormales
R855,Hallazgos anormales en muestras tomadas de organos digestivos y de la cavidad abdominal: hallazgos microbiologicos anormales, hallazgos positivos en el cultivo
R856,Hallazgos anormales en muestras tomadas de organos digestivos y de la cavidad abdominal: hallazgos citologicos anormales, frotis anormal de papanicolaou
R857,Hallazgos anormales en muestras tomadas de organos digestivos y de la cavidad abdominal: hallazgos histologicos anormales
R858,Hallazgos anormales en muestras tomadas de organos digestivos y de la cavidad abdominal: otros hallazgos anormales, hallazgos cromosomicos anormales
R859,Hallazgos anormales en muestras tomadas de organos digestivos y de la cavidad abdominal: hallazgos anormales, no especificados
R86,Hallazgos anormales en muestras tomadas de organos genitales masculinos
R860,Hallazgos anormales en muestras tomadas de organos genitales masculinos: nivel anormal de enzimas
R861,Hallazgos anormales en muestras tomadas de organos genitales masculinos: nivel anormal de hormonas
R862,Hallazgos anormales en muestras tomadas de organos genitales masculinos : nivel anormal de otras drogas, medicamentos y sustancias biologicas
R863,Hallazgos anormales en muestras tomadas de organos genitales masculinos: nivel anormal de sustancias de origen fundamentalmente no medicinal
R864,Hallazgos anormales en muestras tomadas de organos genitales masculinos: hallazgos inmunologicos anormales
R865,Hallazgos anormales en muestras tomadas de organos genitales masculinos: hallazgos microbiologicos anormales, hallazgos positivos en el cultivo
R866,Hallazgos anormales en muestras tomadas de organos genitales masculinos: hallazgos citologicos anormales, frotis anormal de papanicolaou
R867,Hallazgos anormales en muestras tomadas de organos genitales masculinos: hallazgos histologicos anormales
R868,Hallazgos anormales en muestras tomadas de organos genitales masculinos: otros hallazgos anormales, hallazgos cromosomicos anormales
R869,Hallazgos anormales en muestras tomadas de organos genitales masculinos: hallazgos anormales, no especificados
R87,Hallazgos anormales en muestras tomadas de organos genitales femeninos
R870,Hallazgos anormales en muestras tomadas de organos genitales femeninos: nivel anormal de enzimas
R871,Hallazgos anormales en muestras tomadas de organos genitales femeninos: nivel anormal de hormonas
R872,Hallazgos anormales en muestras tomadas de organos genitales femeninos: nivel anormal de otras drogas, medicamentos y sustancias biologicas
R873,Hallazgos anormales en muestras tomadas de organos genitales femeninos: nivel anormal de sustancias de origen fundamentalmente no medicinal
R874,Hallazgos anormales en muestras tomadas de organos genitales femeninos: hallazgos inmunologicos anormales
R875,Hallazgos anormales en muestras tomadas de organos genitales femeninos: hallazgos microbiologicos anormales, hallazgos positivos en el cultivo
R876,Hallazgos anormales en muestras tomadas de organos genitales femeninos: hallazgos citologicos anormales
R877,Hallazgos anormales en muestras tomadas de organos genitales femeninos: hallazgos histologicos anormales
R878,Hallazgos anormales en muestras tomadas de organos genitales femeninos: otros hallazgos anormales, hallazgos cromosomicos anormales
R879,Hallazgos anormales en muestras tomadas de organos genitales femeninos: hallazgos anormales, no especificados
R89,Hallazgos anormales en muestras tomadas de otros organos, sistemas y tejidos
R890,Hallazgos anormales en muestras tomadas de otros organos, sistemas y tejidos: nivel anormal de enzimas
R891,Hallazgos anormales en muestras tomadas de otros organos, sistemas y tejidos: nivel anormal de hormonas
R892,Hallazgos anormales en muestras tomadas de otros organos, sistemas y tejidos: nivel anormal de otras drogas, medicamentos y sustancias biologicas
R893,Hallazgos anormales en muestras tomadas de otros organos, sistemas y tejidos: nivel anormal de sustancias de origen fundamentalmente no medicinal
R894,Hallazgos anormales en muestras tomadas de otros organos, sistemas y tejidos: hallazgos inmunologicos anormales
R895,Hallazgos anormales en muestras tomadas de otros organos, sistemas y tejidos: hallazgos microbiologicos anormales, hallazgos positivos en el cultivo
R896,Hallazgos anormales en muestras tomadas de otros organos, sistemas y tejidos: hallazgos citologicos anormales, frotis anormal de papanicolaou
R897,Hallazgos anormales en muestras tomadas de otros organos, sistemas y tejidos: hallazgos histologicos anormales
R898,Hallazgos anormales en muestras tomadas de otros organos, sistemas y tejidos: otros hallazgos anormales, hallazgos cromosomicos anormales
R899,Hallazgos anormales en muestras tomadas de otros organos, sistemas y tejidos: hallazgos anormales, no especificados
R90,Hallazgos anormales en diagnostico por imagen del sistema nervioso central
R900,Lesion que ocupa el espacio intracraneal
R908,Otros hallazgos anormales en diagnostico por imagen y del sistema nervioso central
R91,Hallazgos anormales en diagnostico por imagen del pulmon
R92,Hallazgos anormales en diagnostico por imagen de la mama
R93,Hallazgos anormales en diagnostico por imagen de otras estructuras del cuerpo
R930,Hallazgos anormales en diagnostico por imagen del craneo y de la cabeza, no clasificados en otra parte
R931,Hallazgos anormales en diagnostico por imagen del corazon y de la circulacion coronaria
R932,Hallazgos anormales en diagnostico por imagen del higado y de las vias biliares
R933,Hallazgos anormales en diagnostico por imagen de otras partes de las vias digestivas
R934,Hallazgos anormales en diagnostico por imagen de los organos urinarios
R935,Hallazgos anormales en diagnostico por imagen de otras regiones abdominales, incluido el retroperitoneo
R936,Hallazgos anormales en diagnostico por imagen de los miembros
R937,Hallazgos anormales en diagnostico por imagen de otras partes del sistema osteomuscular
R938,Hallazgos anormales en diagnostico por imagen de otras estructuras especificadas del cuerpo
R94,Resultados anormales de estudios funcionales
R940,Resultados anormales en estudios funcionales del sistema nervioso central
R941,Resultados anormales en estudios funcionales del sistema nervioso periferico y sentidos especiales
R942,Resultados anormales en estudios funcionales del pulmon
R943,Resultados anormales en estudios funcionales cardiovasculares
R944,Resultados anormales en estudios funcionales del riñon
R945,Resultados anormales en estudios funcionales del higado
R946,Resultados anormales en estudios funcionales de la tiroides
R947,Resultados anormales en otros estudios funcionales endocrinos
R948,Resultados anormales en los estudios funcionales de otros organos y sistemas
R95,Sindrome de la muerte subita infantil
R96,Otras muertes subitas de causa desconocida
R960,Muerte instantanea
R961,Muerte que ocurre en menos de 24 horas del inicio de los sintomas, no explicada de otra forma
R98,Muerte sin asistencia
R99,Otras causas mal definidas y las no especificadas de mortalidad
S00,Traumatismo superficial de la cabeza
S000,Traumatismo superficial del cuero cabelludo
S001,Contusion de los parpados y de la region periocular
S002,Otros traumatismos superficiales del parpado y de la region periocular
S003,Traumatismo superficial de la nariz
S004,Traumatismo superficial del oido
S005,Traumatismo superficial del labio y de la cavidad bucal
S007,Traumatismos superficiales multiples de la cabeza
S008,Traumatismo superficial de otras partes de la cabeza
S009,Traumatismo superficial de la cabeza, parte no especificada
S01,Herida de la cabeza
S010,Herida del cuero cabelludo
S011,Herida del parpado y de la region periocular
S012,Herida de la nariz
S013,Herida del oido
S014,Herida de la mejilla y de la region temporomandibular
S015,Herida del labio y de la cavidad bucal
S017,Heridas multiples de la cabeza
S018,Herida de otras partes de la cabeza
S019,Herida de la cabeza, parte no especificada
S02,Fractura de huesos del craneo y de la cara
S020,Fractura de la boveda del craneo
S021,Fractura de la base del craneo
S022,Fractura de los huesos de la nariz
S023,Fractura del suelo de la orbita
S024,Fractura del malar y del hueso maxilar superior
S025,Fractura de los dientes
S026,Fractura del maxilar inferior
S027,Fracturas multiples que comprometen el craneo y los huesos de la cara
S028,Fractura de otros huesos del craneo y de la cara
S029,Fractura del craneo y de los huesos de la cara, parte no especificada
S03,Luxacion, esguince y torcedura de articulaciones y de ligamentos de la cabeza
S030,Luxacion del maxilar
S031,Luxacion del cartilago septal de la nariz
S032,Luxacion de diente
S033,Luxacion de otras partes y de las no especificadas de la cabeza
S034,Esguinces y torceduras del maxilar
S035,Esguinces y torceduras de articulaciones y ligamentos de otras partes y las no especificadas de la cabeza
S04,Traumatismo de nervios craneales
S040,Traumatismo del nervio optico [ii par] y de las vias opticas
S041,Traumatismo del nervio motor ocular comun [iii par]
S042,Traumatismo del nervio patetico [iv par]
S043,Traumatismo del nervio trigemino [v par]
S044,Traumatismo del nervio motor ocular externo [vi par]
S045,Traumatismo del nervio facial [vii par]
S046,Traumatismo del nervio acustico [viii par]
S047,Traumatismo del nervio espinal [xi par]
S048,Traumatismo de otros nervios craneales
S049,Traumatismo del nervios craneales, no especificado
S05,Traumatismo del ojo y de la orbita
S050,Traumatismo de la conjuntiva y abrasion corneal sin mencion de cuerpo extraño
S051,Contusion del globo ocular y del tejido orbitario
S052,Laceracion y ruptura ocular con prolapso o perdida del tejido intraocular
S053,Laceracion ocular sin prolapso o perdida del tejido intraocular
S054,Herida penetrante de la orbita con o sin cuerpo extraño
S055,Herida penetrante del globo ocular con cuerpo extraño
S056,Herida penetrante del globo ocular sin cuerpo extraño
S057,Avulsion del ojo
S058,Otros traumatismos del ojo y de la orbita
S059,Traumatismo del ojo y de la orbita, no especificado
S06,Traumatismo intracraneal
S060,Concusion
S061,Edema cerebral traumatico
S062,Traumatismo cerebral difuso
S063,Traumatismo cerebral focal
S064,Hemorragia epidural
S065,Hemorragia subdural traumatica
S066,Hemorragia subaracnoidea traumatica
S067,Traumatismo intracraneal con coma prolongado
S068,Otros traumatismos intracraneales
S069,Traumatismo intracraneal, no especificado
S07,Traumatismo por aplastamiento de la cabeza
S070,Traumatismo por aplastamiento de la cara
S071,Traumatismo por aplastamiento del craneo
S078,Traumatismo por aplastamiento de otras partes de la cabeza
S079,Traumatismo por aplastamiento de la cabeza, parte no especificada
S08,Amputacion traumatica de parte de la cabeza
S080,Avulsion del cuero cabelludo
S081,Amputacion traumatica de la oreja
S088,Amputacion traumatica de otras partes de la cabeza
S089,Amputacion traumatica de parte no especificada de la cabeza
S09,Otros traumatismo y los no especificados de cabeza
S090,Traumatismo de los vasos sanguineos de la cabeza no clasificados en otra parte
S091,Traumatismo de tendon y musculos de la cabeza
S092,Ruptura traumatica del timpano del oido
S097,Traumatismos multiples de la cabeza
S098,Otros traumatismos de la cabeza, especificados
S099,Traumatismo de la cabeza, no especificado
S10,Traumatismo superficial del cuello
S100,Contusion de la garganta
S101,Otros traumatismos superficiales y los no especificados de la garganta
S107,Traumatismo superficial multiple del cuello
S108,Traumatismo superficial de otras partes del cuello
